姓名,性别,身份证,学院,专业
赵明,男,320115200801011019,数学学院,数学与应用数学
钱娟,女,32011520080104104X,数学学院,数学与应用数学
孙强,男,320115200801071054,数学学院,数学与应用数学
李华,女,320115200801101081,数学学院,数学与应用数学
周平,男,320115200801131096,数学学院,数学与应用数学
吴巧,女,320115200801161121,数学学院,数学与应用数学
郑东,男,320115200801191136,数学学院,数学与应用数学
王娜,女,320115200801221163,数学学院,数学与应用数学
冯辉,男,320115200801251178,数学学院,数学与应用数学
陈淑,女,320115200801281203,数学学院,数学与应用数学
褚明,男,320115200801311214,数学学院,数学与应用数学
卫珠,女,320115200802031249,数学学院,数学与应用数学
蒋健,男,320115200802061253,数学学院,数学与应用数学
沈雅,女,320115200802091284,数学学院,数学与应用数学
韩广,男,320115200802121295,数学学院,数学与应用数学
杨玉,女,320115200802151320,数学学院,数学与应用数学
朱义,男,320115200802181335,数学学院,数学与应用数学
秦红,女,320115200802211362,数学学院,数学与应用数学
尤良,男,320115200802241377,数学学院,数学与应用数学
许玲,女,320115200802271402,数学学院,数学与应用数学
何山,男,320115200803011418,数学学院,数学与应用数学
吕芳,女,320115200803041449,数学学院,数学与应用数学
施波,男,320115200803071453,数学学院,数学与应用数学
张彩,女,320115200803101480,数学学院,数学与应用数学
孔贵,男,320115200803131495,数学学院,数学与应用数学
曹菊,女,320115200803161520,数学学院,数学与应用数学
严生,男,320115200803191535,数学学院,数学与应用数学
华凤,女,320115200803221562,数学学院,数学与应用数学
金元,男,320115200803251577,数学学院,数学与应用数学
魏梅,女,320115200803281602,数学学院,数学与应用数学
陶胜,男,320115200803311613,数学学院,数学与应用数学
姜素,女,320115200804031648,数学学院,数学与应用数学
戚祥,男,320115200804061652,数学学院,数学与应用数学
谢莲,女,320115200804091683,数学学院,数学与应用数学
邹发,男,320115200804121694,数学学院,数学与应用数学
喻环,女,32011520080415172X,数学学院,数学与应用数学
柏新,男,320115200804181734,数学学院,数学与应用数学
水荣,女,320115200804211761,数学学院,数学与应用数学
窦清,男,320115200804241776,数学学院,数学与应用数学
章妹,女,320115200804271801,数学学院,数学与应用数学
云明,男,320115200804301812,数学学院,数学与应用数学
苏娟,女,320115200805031842,数学学院,数学与应用数学
潘强,男,320115200805061857,数学学院,数学与应用数学
葛华,女,320115200805091888,数学学院,数学与应用数学
奚平,男,320115200805121899,数学学院,数学与应用数学
范巧,女,320115200805151924,数学学院,数学与应用数学
彭东,男,320115200805181939,数学学院,数学与应用数学
郎娜,女,320115200805211966,数学学院,数学与应用数学
鲁辉,男,320115200805241970,数学学院,数学与应用数学
韦淑,女,320115200805272005,数学学院,数学与应用数学
昌明,男,320115200805302016,数学学院,数学与应用数学
马珠,女,320115200806022040,数学学院,数学与应用数学
苗健,男,320115200806052055,数学学院,数学与应用数学
凤雅,女,320115200806082086,数学学院,数学与应用数学
花广,男,320115200806112097,数学学院,数学与应用数学
方玉,女,320115200806142122,数学学院,数学与应用数学
俞义,男,320115200806172137,数学学院,数学与应用数学
任红,女,320115200806202164,数学学院,数学与应用数学
袁良,男,320115200806232179,数学学院,数学与应用数学
柳玲,女,320115200806262204,数学学院,数学与应用数学
薛山,男,320115200806292219,数学学院,数学与应用数学
伍芳,女,320115200807022245,数学学院,数学与应用数学
余波,男,32011520080705225X,数学学院,数学与应用数学
元彩,女,320115200807082280,数学学院,数学与应用数学
卜贵,男,320115200807112291,数学学院,数学与应用数学
顾菊,女,320115200807142327,数学学院,数学与应用数学
孟生,男,320115200807172331,数学学院,数学与应用数学
平凤,女,320115200807202369,数学学院,数学与应用数学
黄元,男,320115200807232373,数学学院,数学与应用数学
和梅,女,320115200807262409,数学学院,数学与应用数学
